gene,mean_rpkm,median_rpkm,n_mutated_samples,mut_freq,n_altered,cna_dir,rna_dir,concordance,concordant,expressed,frac_outlier,transcriptomic,cna_burden,genomic,score
HLA-C,77.34687107670652,68.34625714285714,3,0.02,33.0,0.8484848484848485,0.4560062303030303,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.17721518987341772,0.9857943767651646,0.9925638073306466
GOPC,6.163767487684726,4.8774,1,0.006666666666666667,31.0,0.5806451612903226,0.281668605537211,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.11392405063291139,0.9082219786704886,0.9916042985991173
ARID5B,20.387108374384248,15.4556,1,0.006666666666666667,23.0,1.0,0.5590775201288245,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.14556962025316456,0.9558972305357669,0.9915563231625408
KPNB1,31.034780788177347,30.1717,1,0.006666666666666667,28.0,0.7857142857142857,0.3021163186813186,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.13924050632911392,0.94683429583105,0.9910046056419113
DYRK1A,37.81484876847288,30.8677,0,0.0,52.0,1.1346153846153846,0.7997692307692307,concordant_up,True,True,0.09359605911330049,0.09359605911330049,0.37341772151898733,0.7426231926822071,0.9868067549414701
BACH1,1.7216108374384227,1.1714,0,0.0,53.0,1.0566037735849056,1.1269037735849055,concordant_up,True,True,0.10344827586206896,0.10344827586206896,0.35443037974683544,0.7409054504067782,0.9860631356745346
PIGP,4.881315763546797,3.5194,0,0.0,52.0,1.1346153846153846,0.8651548258345428,concordant_up,True,True,0.08866995073891626,0.08866995073891626,0.37341772151898733,0.7426231926822071,0.9856793321819228
SON,119.35813152709359,91.5526,0,0.0,53.0,1.0943396226415094,0.8539094159928123,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.3670886075949367,0.7422016608354761,0.983568412972558
SUMO3,52.630170443349776,45.384,0,0.0,45.0,0.9333333333333333,0.876970226155359,concordant_up,True,True,0.08866995073891626,0.08866995073891626,0.26582278481012656,0.7380811870336804,0.9824170024947227
MX2,3.5674527093596056,2.6205,0,0.0,50.0,1.1,0.21630170370370358,concordant_up,True,True,0.08374384236453201,0.08374384236453201,0.34810126582278483,0.7402626143405134,0.9822251007484168
RPP21,1.173981421534131,1.001542857142857,0,0.0,31.0,1.032258064516129,0.5494565659131317,concordant_up,True,True,0.08866995073891626,0.08866995073891626,0.20253164556962025,0.7355519959532942,0.9802820955670697
TNF,17.85549482758621,8.624,0,0.0,29.0,1.0689655172413792,2.442231034482758,concordant_up,True,True,0.09359605911330049,0.09359605911330049,0.1962025316455696,0.734392783374784,0.980210132412205
SOD1,71.53747536945812,58.3268,0,0.0,53.0,1.0754716981132075,0.4755659838274932,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.36075949367088606,0.7415272098807065,0.9801141815390519
SLC37A1,9.169575369458132,7.3234,0,0.0,48.0,1.1666666666666667,0.6692979166666668,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.35443037974683544,0.7409054504067782,0.9796584148915755
PDXK,3.8101955665024625,2.5356,0,0.0,47.0,1.0212765957446808,0.4051787234042552,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.30379746835443033,0.7393879357585466,0.9790107464977931
SCAF4,38.277386699507375,31.3744,1,0.006666666666666667,53.0,1.0754716981132075,0.5622075112309076,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.36075949367088606,0.9909792184799562,0.9786749184417578
HSPA13,9.542611330049269,7.8478,0,0.0,46.0,0.9782608695652174,0.4049461568322981,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.2848101265822785,0.7390085570964886,0.9786029552868931
RPPH1,93.81472807881772,29.8484,0,0.0,38.0,1.0526315789473684,0.34421688596491234,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.25316455696202533,0.7373751211904059,0.9774995202456342
USP16,25.558788669950744,22.312,0,0.0,53.0,1.0566037735849056,0.6398113387241687,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.35443037974683544,0.7409054504067782,0.9745730186144694
ABCG1,6.3643251231527085,4.3215,0,0.0,48.0,1.1666666666666667,0.338655606060606,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.35443037974683544,0.7409054504067782,0.9745730186144694
B4GALT1,105.85964876847297,83.686,0,0.0,41.0,-0.7560975609756098,0.2555529289139045,discordant,False,True,0.07881773399014778,0.07881773399014778,0.1962025316455696,0.734392783374784,0.9745730186144694
